"R","Vergunning voor het in de handel brengen / Registratie","Autorisation de mise sur le marché / Enregistrement","Zulassung für das Inverkehrbringen / Registierung","Marketing authorisation / Registration"
"P","Vergunning voor parallelinvoer","Autorisation d'importation parallèle","Zulassungverfahren für Parallelimport","Authorisation for parallel import"
